temperature,humidity,sensation,comfort,skin,clothing
-1.365663322,0.750581666,0,0,-1.380452789,-1.065449011
-1.337792642,0.750581666,0,0,,
-1.309921962,0.750581666,0,0,-1.214798454,-1.331811263
-1.086956522,0.592368544,0,1,-0.993926008,-0.799086758
-0.919732441,0.545835272,0,1,,
-0.613154961,0.164262448,0,1,-0.165654335,-0.380517504
-0.501672241,0.117729176,0,0,,
-0.501672241,0.099115868,0,0,-0.165654335,-0.380517504
-0.362318841,0.006049325,0,0,,
-0.19509476,-0.021870638,1,-1,0.055218112,-0.228310502
0.11148272,-0.217310377,1,-1,,
0.334448161,-0.347603537,1,-1,0.828271673,0.608828006
0.557413601,-0.449976733,1,-1,,
0.724637681,-0.384830154,1,-1,0.662617338,0.799086758
0.836120401,-0.561656584,1,-1,,
0.919732441,-0.589576547,2,-2,0.662617338,1.141552511
1.059085842,-0.664029781,2,-2,,
1.170568562,-0.68264309,2,-2,0.938707896,0.913242009
1.282051282,-0.738483015,2,-2,,
1.337792642,-0.673336436,2,-2,1.104362231,1.331811263
1.142697882,-0.589576547,1,-1,,
0.947603122,-0.570963239,1,-1,0.938707896,0.722983257
0.808249721,-0.496510005,1,-1,,
0.557413601,-0.412750116,0,0,0.662617338,0.114155251
0.30657748,-0.356910191,0,0,,
0.16722408,-0.208003723,0,1,0.496963004,-0.266362253
0.11148272,-0.208003723,0,1,,
0,-0.18008376,0,1,,
1.616499443,-0.924616101,3,-3,,
1.532887402,-0.859469521,3,-3,0.828271673,1.407914764
0.947603122,-0.68264309,2,-2,,
0.668896321,-0.477896696,1,-1,,
0.501672241,-0.422056771,0,0,1.159580342,1.255707763
0.418060201,-0.347603537,0,0,,
0.418060201,-0.347603537,1,-1,0.386526781,0.722983257
0.390189521,-0.282456957,0,0,,
-0.02787068,-0.431363425,-1,-1,0.110436223,0.228310502
-0.02787068,-0.077710563,-1,-1,,
0.1393534,-0.105630526,0,0,0.165654335,0.418569254
0.25083612,-0.133550489,0,0,,
0.16722408,-0.366216845,0,0,0.165654335,0.152207002
-0.25083612,-0.515123313,-1,-1,,
-0.473801561,-0.626803164,-1,-1,,
-0.724637681,-0.719869707,-2,-2,,
-0.863991081,-0.757096324,-2,-2,-0.607399227,-0.875190259
-0.780379041,-0.785016287,-2,-2,,
-1.198439242,-0.68264309,-3,-3,-0.607399227,-1.369863014
-1.421404682,-0.580269893,-3,-3,,
-1.505016722,-0.664029781,-3,-3,-0.993926008,-1.293759513
-1.560758082,-0.664029781,-3,-3,,
0.2787068,-0.74778967,0,1,,
0.30657748,-0.738483015,0,1,0.220872446,0.228310502
0.30657748,-0.68264309,0,1,,
0.25083612,-0.691949744,0,1,0.552181115,0.456621005
0.445930881,-0.719869707,0,0,,
0.808249721,-0.850162866,1,-1,0.828271673,0.875190259
1.031215162,-0.915309446,1,-1,,
1.114827202,-0.812936249,1,-1,0.773053562,0.913242009
1.170568562,-0.906002792,1,-1,,
1.226309922,-0.943229409,1,-1,1.104362231,1.179604262
1.059085842,-0.906002792,0,0,,
0.668896321,-0.766402978,0,0,0.883489785,0.608828006
0.418060201,-0.654723127,0,0,,
0.2787068,-0.55234993,0,1,0.71783545,0.380517504
0.1393534,-0.468590042,0,1,,
0.05574136,-0.403443462,0,1,0.607399227,0
-0.808249721,0.806421591,0,0,,
-0.752508361,0.741275012,0,1,-0.71783545,-1.065449011
-0.724637681,0.750581666,0,1,,
-0.808249721,0.815728246,0,1,-0.331308669,-0.875190259
-0.724637681,0.908794788,0,0,,
-0.529542921,0.508608655,0,0,-0.276090558,-0.761035008
-0.362318841,0.359702187,1,-1,,
-0.334448161,0.359702187,1,-1,0.110436223,0
-0.11148272,0.238715682,1,-1,,
0.1393534,-0.003257329,1,-1,0.165654335,0
0.334448161,-0.124243834,1,-1,,
0.418060201,-0.189390414,2,-2,0.496963004,0.190258752
0.585284281,-0.235923685,2,-2,,
0.808249721,-0.328990228,2,-2,,
0.947603122,-0.394136808,2,-2,,
1.031215162,-0.394136808,3,-3,0.662617338,1.103500761
1.142697882,-0.459283388,3,-3,,
1.226309922,-0.524429967,3,-3,1.049144119,1.179604262
0.752508361,-0.375523499,2,-2,,
0.362318841,-0.11493718,1,-1,0.883489785,0.456621005
0.1393534,0.024662634,0,0,,
-0.02787068,0.173569102,0,0,0.71783545,0.03805175
-0.19509476,0.275942299,0,0,,
-0.30657748,0.378315496,0,1,0.165654335,-0.228310502
-0.390189521,0.499302001,0,1,,
-0.473801561,0.638901815,0,1,,
-0.557413601,0.722661703,0,1,0.110436223,-0.03805175
