,temperature,humidity,sensation,comfort,skin,clothing
303,26.7,52.0,1,-1,35.1,30.2
305,24.9,55.9,0,0,32.8,27.9
308,21.5,62.0,0,1,31.1,26.5
310,21.6,62.0,0,1,31.1,26.5
312,23.0,59.2,0,0,31.7,27.0
314,24.8,56.7,0,0,32.4,27.8
318,27.2,51.7,1,-1,33.6,29.4
322,29.5,48.2,3,-3,34.4,31.2
324,29.4,48.5,3,-3,34.9,31.7
326,28.7,50.0,3,-3,34.8,31.1
328,27.4,52.0,2,-2,34.3,30.1
330,26.0,53.6,1,-1,34.4,29.4
332,25.0,55.5,1,-1,33.9,27.7
334,22.6,57.1,0,1,31.8,26.3
337,22.5,64.9,0,1,32.5,26.9
339,20.6,56.1,-1,-1,31.2,25.2
341,18.7,52.5,-1,-1,30.1,25.0
343,16.1,47.1,0,0,27.5,18.3
344,15.7,50.8,-1,-1,28.3,19.3
345,14.4,53.4,-2,-2,27.1,18.8
346,15.0,54.6,-2,-2,27.8,20.8
347,15.6,55.7,-2,-2,26.1,20.5
348,16.1,54.1,-2,-2,28.4,22.1
349,16.5,53.2,-1,-1,27.8,21.6
350,16.6,52.0,-1,-1,28.5,22.4
355,21.3,47.7,0,-1,31.0,24.1
356,22.5,45.1,0,0,32.1,26.1
357,23.0,40.9,0,0,32.9,6.2
358,24.5,40.1,0,0,33.5,26.7
361,26.2,36.2,2,-2,33.6,27.4
