temperature,humidity,sensation,comfort,skin,clothing
-1.785714286,-0.457604307,-1,0,-2.04924044,21.7
-1.812770563,-0.314042171,-1,0,,
-1.812770563,-0.251233737,-1,0,-1.682556312,22.4
-1.488095238,-0.358905339,0,0,,
-0.135281385,-0.69986541,1,-1,-0.739654269,26.9
0.649350649,-0.978017048,2,-2,,
0.757575758,-0.888290713,2,-2,0.203247774,27.8
0.730519481,-1.040825482,2,-2,,
0.784632035,-1.040825482,2,-2,-0.05866946,28.4
0.865800866,-0.834454913,2,-2,,
1.028138528,-0.978017048,2,-2,0.622315348,28.7
1.082251082,-1.022880215,2,-2,,
1.271645022,-1.130551817,2,-2,0.831849136,29.7
1.37987013,-1.166442351,2,-2,,
1.433982684,-1.202332885,2,-2,1.25091671,30.7
1.325757576,-1.157469717,1,-1,,
1.109307359,-1.094661283,0,0,0.674698795,29.2
0.676406926,-1.058770749,0,0,,
0.351731602,-0.888290713,0,1,0.831849136,28.2
0.108225108,-0.834454913,0,1,,
0,-0.771646478,0,1,0.150864327,26.5
-0.135281385,-0.870345446,0,1,,
-0.378787879,-0.924181247,0,1,-0.111052907,25.1
-0.45995671,-0.933153881,0,1,,
-0.487012987,-1.381785554,0,0,-0.215819801,25
-0.45995671,-1.417676088,0,0,,
-0.405844156,-1.453566622,0,0,-0.111052907,24.7
-0.432900433,-1.471511889,0,0,,
-0.432900433,-1.417676088,0,0,-0.163436354,25.3
-0.432900433,-1.363840287,0,1,,
-0.405844156,-1.31897712,0,1,-0.006286014,25.6
-0.351731602,-1.283086586,0,1,,
-0.351731602,-1.166442351,0,1,-0.215819801,26.1
-0.324675325,-1.803499327,0,1,,
0.703463203,-1.31897712,1,-1,0.622315348,28.6
1.19047619,-1.444593988,2,-2,,
1.515151515,-1.498429789,3,-3,0.884232583,30.4
1.352813853,-1.480484522,2,-2,,
1.082251082,-1.444593988,2,-2,0.831849136,29
0.865800866,-1.327949753,1,-1,,
0.784632035,-1.336922387,1,-1,0.936616029,28.8
0.730519481,-1.310004486,1,-1,,
0.676406926,-1.292059219,1,-1,0.622315348,28.5
0.649350649,-1.292059219,1,-1,,
0.595238095,-1.256168686,1,-1,0.831849136,28.4
0.595238095,-1.256168686,1,-1,,
0.541125541,-1.615074024,0,0,0.569931902,28.2
0.432900433,-1.695827725,0,0,,
0.324675325,-1.704800359,0,0,0.622315348,26.9
0.297619048,-1.767608793,0,0,,
0.270562771,-1.848362494,0,0,0.517548455,26.9
0.216450216,-1.722745626,0,0,,
0.162337662,-1.615074024,0,0,0.517548455,26.6
0.108225108,-1.52534769,0,0,,
0.081168831,-1.516375056,0,0,0.203247774,25.9
-1.271645022,-0.744728578,0,1,,
-1.271645022,-0.771646478,0,1,,
-1.271645022,-0.762673845,0,1,-0.844421163,23.1
-1.298701299,-0.744728578,0,1,,
-1.298701299,-0.726783311,0,1,-0.634887376,22.9
-1.325757576,-0.717810677,0,1,,
-1.325757576,-0.690892777,0,1,-1.263488738,22.5
-1.298701299,-0.655002243,0,1,,
-1.109307359,-0.708838044,0,1,-1.05395495,24
-0.974025974,-0.708838044,0,0,,
-0.676406926,-0.789591745,0,0,-0.530120482,25
-0.405844156,-0.897263347,0,0,,
-0.243506494,-0.960071781,0,0,0.308014667,26.5
-0.162337662,-0.969044415,0,0,,
-0.081168831,-1.013907582,1,-1,-0.215819801,25.9
0.027056277,-0.978017048,1,-1,,
0.324675325,-1.094661283,1,-1,0.046097433,26.9
0.45995671,-1.157469717,1,-1,,
0.568181818,-1.175414984,1,-2,0.150864327,27.1
0.676406926,-1.220278152,2,-2,,
0.892857143,-1.238223419,2,-2,,
0.946969697,-1.256168686,2,-2,0.988999476,29.3
0.892857143,-1.238223419,2,-3,,
0.974025974,-1.247196052,3,-3,0.884232583,29.6
1.217532468,-1.247196052,3,-3,,
1.136363636,-1.211305518,3,-3,0.884232583,29.8
0.974025974,-1.211305518,3,-3,,
0.568181818,-1.130551817,2,-2,0.308014667,28.8
0.351731602,-1.040825482,2,-2,,
0.243506494,-0.960071781,1,-1,0.884232583,28.7
0.027056277,-0.960071781,1,-1,,
-0.405844156,-0.951099148,1,-1,-0.215819801,25.6
-0.622294372,-0.924181247,0,0,,
-0.838744589,-0.969044415,0,0,-0.530120482,25
-1.704545455,-0.242261104,0,0,,
-1.704545455,-0.224315837,0,0,-1.8920901,24.1
-1.677489177,-0.20637057,0,0,,
-1.19047619,-0.314042171,0,1,-1.368255631,23.8
-1.028138528,-0.367877972,0,1,,
-0.91991342,-0.394795873,0,1,-1.158721844,23.9
-0.568181818,-0.610139076,0,0,,
-0.054112554,-0.771646478,0,0,-0.372970141,26.5
0.432900433,-0.960071781,0,0,,
0.649350649,-1.031852849,0,0,0.046097433,27.7
0.865800866,-1.076716016,1,-1,,
1.028138528,-1.148497084,1,-1,0.465165008,28.5
1.19047619,-1.193360251,1,-1,,
1.325757576,-1.211305518,2,-2,0.622315348,28.8
1.488095238,-1.247196052,2,-2,,
0.974025974,-1.166442351,1,-1,0.517548455,27.1
0.351731602,-0.933153881,0,0,,
-0.757575758,-0.708838044,0,1,,
-0.811688312,-0.69986541,0,1,,
-0.865800866,-0.655002243,0,1,,
-0.892857143,-0.619111709,0,1,-1.001571503,25.1
-0.865800866,-0.574248542,0,1,,
-0.541125541,-0.583221175,0,0,-0.477737035,26
-0.270562771,-0.663974877,0,0,,
-0.108225108,-0.744728578,0,0,-0.111052907,27.3
